State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,0,0,0,0,0,0,0,1,1,2,3,0,0,0,3,10,36,41,108,85,61,437,321,383,697
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Arizona,0,0,0,0,0,0,0,0,0,0,21,52,0,400,69,321,178,338,388,483,811,1467,1307,1309,5292
Arkansas,0,0,0,0,0,0,0,191,1065,1546,1430,1957,2343,2899,3039,3536,3634,3832,2860,3129,6729,12135,10583,10236,10537
California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21
Colorado,0,768,1487,2403,3413,3560,5934,4113,5608,8909,7078,7527,9562,8697,11486,12014,14321,13464,11259,14098,16488,29234,29189,27778,34442
Connecticut,0,0,2,21,169,35,196,171,866,630,533,372,455,533,610,654,897,884,1471,2027,3298,9600,10438,8182,11419
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,7,28,33,129,166,125,106,45
Delaware,0,0,1,0,0,135,51,0,188,167,0,442,240,298,3026,2714,2622,2415,2423,2912,3168,4525,4857,4219,4335
Florida,0,0,0,0,3,1,1,0,1,1,0,1,0,0,1,0,1,0,3,2,1,9,5,17,65
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,9404,30647
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,7230,7720,6973
Idaho,224,79,177,448,707,676,1309,1356,584,1065,579,816,618,794,1005,960,1319,967,1284,1602,2005,4630,4208,3288,3579
Illinois,0,0,0,0,0,0,0,0,0,0,0,111,97,0,76,181,0,0,41,50,46,678,800,725,801
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,251,748,6719,12745
Iowa,93,0,0,0,22,36,126,53,232,156,282,297,295,356,256,363,585,467,576,748,1084,9143,6476,7235,7000
Kansas,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,11134,10192,9399,11444
Kentucky,0,0,0,0,0,7,16,36,15,53,28,214,173,1049,1088,2333,3925,3573,3666,4884,5623,13476,12186,12008,11911
Louisiana,0,0,0,0,0,0,0,0,0,0,1,31,103,90,6,1,10,14,46,28,59,2568,2374,2393,3655
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,0,2,0,0,0,820,918,969,1012
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4425,3600,6314,7958
Massachusetts,18,49,28,80,29,186,146,103,272,305,119,383,1295,1760,1537,1470,1281,1735,2087,1972,2732,10784,9332,8741,11829
Michigan,0,0,0,0,1246,474,1655,815,731,1286,862,913,1688,1768,3114,3656,6855,8047,8069,8720,10681,26145,24391,23049,20347
Minnesota,0,0,0,0,2,1,3,1,0,1,0,0,1,0,3,2,2,2,1,0,71,324,1618,7924,15314
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,1024,2327,3776
Missouri,0,0,0,0,0,0,0,0,0,0,0,5,0,108,144,148,2280,1137,2073,2742,2680,6066,7121,8342,19229
Montana,0,0,0,0,0,0,0,0,0,1,102,174,194,459,1056,643,580,1175,1445,1343,1281,4019,4277,3723,3615
Nebraska,0,0,0,0,0,21,205,32,63,123,55,52,136,83,174,130,35,44,100,76,103,2463,2167,1903,1874
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,285,5436
New Hampshire,0,0,0,1,1,1,2,142,213,192,317,188,366,440,469,590,811,566,918,945,861,2784,2393,2179,2018
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,10485,9448,9745
New York,0,0,0,0,0,4,3,3,1,0,0,1,0,0,0,0,0,4,0,1,0,6,9,248,2942
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42892,42814
North Dakota,46,0,0,0,0,18,0,1,33,0,57,2,30,3,57,52,170,135,258,382,449,1703,1444,1539,1759
Ohio,0,0,595,552,2764,1383,2425,1895,6209,6004,6013,7178,9320,13975,18297,19063,16355,15046,15340,15326,15591,33930,30269,28516,29763
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5328,5302,10014,11437
Oregon,0,0,0,0,0,0,0,22,194,227,247,278,233,84,547,783,814,861,1131,10093,16377,26417,26005,25683,25581
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,13,275,155,140,212
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,40,30,241,1317,986,1232,678,877,1330,3973,3638,3480,2657
South Carolina,1713,280,506,250,929,1843,2009,1606,1739,1744,2019,3588,4444,4229,4167,4731,5361,5493,7004,8313,11803,29271,27118,27459,27020
South Dakota,0,0,0,0,0,0,0,0,0,0,3,8,0,10,0,9,12,93,99,78,113,2026,1941,1908,2336
Tennessee,0,0,1,72,6216,13982,15630,14391,11440,15044,19549,18157,18144,20648,18535,18877,17038,18552,18480,20872,23041,34549,34800,32323,33526
Texas,0,9,0,1917,2256,3943,3885,854,698,1903,4306,5896,7821,6011,9060,10089,10163,10566,10578,12402,13447,27670,63466,107491,131714
Utah,25,141,1,175,117,103,136,554,8752,7481,7323,7458,8538,7831,6681,6643,7651,7717,8634,9532,10454,16711,13696,13259,19128
Vermont,0,0,0,0,10,0,0,0,0,38,0,0,61,0,0,15,198,168,174,68,93,890,1162,1379,1500
Virginia,65,133,159,1452,1793,2104,3741,1844,1619,2699,4398,4212,7398,10482,10497,9923,10483,10291,12307,13734,16326,32655,28983,28113,25775
Washington,0,0,0,0,0,0,0,0,0,0,150,7542,8759,2796,1404,2496,5379,5243,3883,4366,8832,49537,47638,46169,47990
West Virginia,0,0,0,0,42,4,0,0,0,24,0,3,15,38,163,97,112,62,115,80,141,3115,2209,1578,1529
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,682,0,9,13,971,711,459,526,988,10316,8496,8480,11193
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,147
