State,2020,2016,2012,2008,2004
Alabama,59.6,56.4,59.9,60.8,61.8
Alaska,62.4,59.4,56,62.4,65
Arizona,64.7,53.3,49.6,53.3,54.3
Arkansas,51.9,56,51.1,51.8,56.7
California,55.7,48.2,47.5,51.2,49.1
Colorado,62.7,63.8,65.4,62.5,61.7
Connecticut,60.5,57.5,57.5,60.8,58.5
District of Columbia,63.8,57.2,62.2,63,62.8
Delaware,77.8,68.7,67.7,65.3,62
Florida,56.4,52.9,53.9,56.5,56.1
Georgia,60.9,55.7,58.1,59.6,52.6
Hawaii,59.7,43.3,47.4,46.8,46.2
Idaho,61.6,58.3,60.2,58.8,58.7
Illinois,62.7,58.8,56.2,57.1,61
Indiana,58.9,56,57.7,58.8,57.3
Iowa,68.5,60.7,66.7,66.9,68.8
Kansas,60.1,58,58.9,59.8,59.7
Kentucky,65.3,55.3,57.6,61.4,63.4
Louisiana,59.4,59.7,64.7,68,63.1
Maine,70.5,71.3,67.2,70.2,72
Maryland,68.7,59.2,58.7,61.9,59.7
Massachusetts,58.9,61.7,65.4,61.3,63.7
Michigan,64.1,61.8,64.5,65,64.7
Minnesota,74.3,65.3,70.5,70.8,76.7
Mississippi,69.2,66.7,73.3,68.2,60.7
Missouri,64.5,62.8,62.3,64.2,66.3
Montana,72.6,65.2,64.5,64.7,69.9
Nebraska,62.2,63.4,58.2,64.5,61.3
Nevada,56.3,53.5,51.4,52.8,51.3
New Hampshire,72.4,66.9,66.9,69.8,68.9
New Jersey,68.2,53.4,54.5,56,57.6
New Mexico,58.3,49.4,56.5,57.4,60.9
New York,57,50.7,50.9,51.5,53.1
North Carolina,58.9,61.6,63.7,63.8,58.2
North Dakota,65.3,62.1,62.2,66.3,70.8
Ohio,68.5,61.4,61.7,64.5,64.8
Oklahoma,55.5,53.2,51,56.5,59.2
Oregon,71.3,61,63.3,62.6,70.6
Pennsylvania,68.2,60.2,59.1,60.8,62.5
Rhode Island,61.3,55.5,57.4,63,57.4
South Carolina,61.3,59.8,62.2,63.4,62
South Dakota,57.7,57.3,60.1,66.1,67.1
Tennessee,63.3,52,53.7,53.6,52.7
Texas,55.3,47.7,46.4,48.8,50.3
Utah,59.7,58.9,53.3,50.5,62.8
Vermont,67.5,61,62.1,63.2,65.4
Virginia,66,62.6,62,63.8,58.4
Washington,64.3,60.5,60.7,62.6,62
West Virginia,55.3,50.4,47.5,53.1,57.2
Wisconsin,71.7,68.7,71.9,68.5,73
Wyoming,64.1,63.5,57.8,62.9,66.3
