State,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,72,75,80,86,89,87,89,90,92,91
Alaska,68,70,72,71,76,76,78,79,80,79
Arizona,78,76,75,76,77,80,78,79,78,77
Arkansas,81,84,85,87,85,87,88,89,88,89
California,76,79,80,81,82,83,83,83,85,84
Colorado,74,75,77,77,77,79,79,81,81,82
Connecticut,83,85,86,87,87,87,88,88,89,88
District of Columbia,78,80,80,87,86,86,87,87,89,89
Delaware,59,59,62,61,69,69,73,69,69,73
Florida,71,75,76,76,78,81,82,86,87,90
Georgia,67,70,72,73,79,79,81,82,82,84
Hawaii,80,81,82,82,82,83,83,85,85,86
Idaho,0,0,0,77,79,80,80,81,81,82
Illinois,84,82,83,86,86,86,87,87,86,0
Indiana,86,86,87,88,87,87,84,88,87,91
Iowa,88,89,90,91,91,91,91,91,92,92
Kansas,83,85,86,86,86,86,87,87,87,88
Kentucky,0,0,86,88,88,89,90,90,91,91
Louisiana,71,72,74,75,78,79,78,81,80,83
Maine,84,85,86,87,88,87,87,87,87,87
Maryland,83,84,85,86,87,88,88,87,87,87
Massachusetts,83,85,85,86,87,88,88,88,88,89
Michigan,74,76,77,79,80,80,80,81,81,82
Minnesota,77,78,80,81,82,82,83,83,84,84
Mississippi,75,75,76,78,81,82,83,84,85,88
Missouri,81,84,86,87,88,89,88,89,90,90
Montana,82,84,84,85,86,86,86,86,87,86
Nebraska,86,88,89,90,89,89,89,89,88,88
Nevada,62,63,71,70,71,74,81,83,84,83
New Hampshire,86,86,87,88,88,88,89,89,88,88
New Jersey,83,86,88,89,90,90,91,91,91,91
New Mexico,63,70,70,69,69,71,71,74,75,77
New York,77,77,77,78,79,80,82,82,83,84
North Carolina,78,80,83,84,86,86,87,86,87,88
North Dakota,86,87,88,87,87,88,87,88,88,89
Ohio,80,81,82,82,81,84,84,82,82,84
Oklahoma,0,0,85,83,83,82,83,82,85,81
Oregon,68,68,69,72,74,75,77,79,80,83
Pennsylvania,83,84,86,85,85,86,87,86,87,87
Rhode Island,77,77,80,81,83,83,84,84,84,84
South Carolina,74,75,78,80,80,83,84,81,81,82
South Dakota,83,83,83,83,84,84,84,84,84,84
Tennessee,86,87,86,87,88,89,90,90,91,90
Texas,86,88,88,88,89,89,90,90,90,0
Utah,76,80,83,84,85,85,86,87,87,88
Vermont,87,88,87,88,88,88,89,85,85,83
Virginia,82,83,85,85,86,87,87,88,88,89
Washington,76,77,76,78,78,80,79,87,81,83
West Virginia,78,79,81,85,87,90,89,90,91,92
Wisconsin,87,88,88,89,88,88,89,90,90,90
Wyoming,80,79,77,79,79,80,86,82,82,82
